Season,Episode Number,Episode Title,Character,Dialogue,Main Characters,Minor Characters,Antagonists,Locations
1,0,Unaired pilot,Kya,"[View from behind Kya, who turns to Aang as she talks.] I'm impressed, Aang. You finished tying your end alrea- [She notices Aang hasn't tied the rope to the bison. Frontal view of Aang.] Aang, what have you been doing all this time?","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"Me? I, uh, I was just watching you. You know, trying to learn your technique.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,[Close-up.] This is your bison. You taught me.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"[Frontal view of the two.] Yep, it appears I taught you well. And thus the master passes the reins to the pupil. [Presents her with a flower and bows.] Ancient tradition. [Kya grabs the flower and giggles, before throwing the flower away. Momo perks his ears up as if he hears something.] What do you hear, Momo?","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,"Aang, my brother's been gone for a long time.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,"Sokka, no! If I'm not back by- [The camera follows Kya as she slides down the rocks, but stops when she sees Aang coming too. Side-view of Aang.] Uh uh. Too dangerous. [She approaches and forces him to sit down.] You're way too important.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"[Frontal view.] You're important, too ... to me.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,"[Frontal view.] Look, Aang, there's a bigger picture you're not seeing. [Close-up of Aang.] Bigger than me, Sokka, and Momo. [Frontal view.] You're the Avatar, start acting like it.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"Kya, [Frontal view.] remember it's all in the legs.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,[Side-view.] Thanks.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Zuko,I got your message. [Cut close-up on the messenger hawk as Zuko passes it to the soldier. The camera pans up to the hawk as it squawks. Side-view of Zuko.] Bring the Avatar's playmate to me.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"[Imitating Kya.] ""You're the Avatar, start acting like it."" [Frontal view of Aang.] If that's the case, shouldn't I be using my skills to help. [To Momo.] Exactly, I can't let anything happen to Kya and Sokka. They're the only family I have, besides you. [He moves the ball to right and the camera pans right slightly.] If I were about to be eaten by a pack of angry hog monkeys, you'd save me, right? Yeah, I thought so.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,"[To Zuko.] Hey! [Close-up aerial view of Zuko, with Sokka, tied up behind next to two soldiers.] Untie me and fight like a real warrior! [Frontal view.] I'm talking to you, scar boy! [Close-up of Zuko's scar as becomes visibly annoyed. Frontal view of Sokka as the two soldiers slide away. Muttering.] Yeah, tie me up with ropes.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,Leave him alone!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,[Turning to Kya.] Kya!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Fire Nation Soldier,"[Frontal view of Kya approaching, tied up and flanked by two soldiers.] Prince Zuko, we caught her trying to climb over the wall.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Zuko,[Frontal view.] Is the Avatar with her?,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Fire Nation Soldier,"[Frontal view.] No sign of him, sir.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Zuko,[Frontal view from behind Kya.] Search the island! He's probably hiding under a rock! [Aang suddenly flies in between everyone and the shot pauses to show him smiling.] Ah! [Side-view of Zuko as Aang flies up and around the compound. Zuko points to him.] Get him!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,"[Aerial view.] Go back, Aang!","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,[Close-up.] And miss all the fun? Forget it.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,"[Frontal view.] Yep, we're dead.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"[Frontal view.] What's the matter, Zuko? Can't handle me alone?","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Zuko,[Frontal view.] You want your friends? Come and get them.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,[Frontal view.] If you insist.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Soldier,"Up there! [Frontal view of Aang, as Momo appears out of his clothing. Cut to a view from behind Aang looking down at the soldiers.] After him!","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"[Frontal view.] Oooh. Get him, Momo!","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Soldier,"[Frontal view of Zuko as the soldier approaches.] Sir, the scaffolding!","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Zuko,Out of my way!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,What does that kid think he's doing?,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,"[Cut to Sokka's perspective as he looks up at the hole above. Frontal view.] As long as he distracts those soldiers, I can get us out of here.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Guard,Run! Run!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Zuko,[Close-up.] Come on! Fight back!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,"[Frontal view. Muttering to himself.] Stupid short firebender ropes and stupid short Aang. [Kya begins to enter waterbending stance. Cut to an aerial view of the container above as the water begins to shift. Cut to a frontal view of Kya.] What are you doing? This isn't time to practice. I can't believe this, you never listen to me. [Kya concentrates and ignores her brother.] You're just off in your own little waterbending world, bending water in its world like ways. You never listen!","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,"[The camera zooms in on Kya. To herself, as Sokka continues talking.] It's all in the legs.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Zuko,Give up now and I'll make sure my father goes easy on you. [Frontal view of Aang.] You have nowhere left to go.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,You sure about that?,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,[Voice-over.] Stay back!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,"Kya, get ready.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"[Side-view of Sokka and Momo, the latter still eating.] Good work, Sokka! You found the food. [Frontal view of Kya and Aang. Kya moans in fear.] Come on, Kya, you're flying with the Avatar, start acting like it. [Kya moans in fear again. Cut to an aerial view of the base as the group flies past.] Woohoo!","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,"[Narrating.] My brother and I are quickly learning that life with Aang is one adventure after another. [Side-view of Appa's head. Aang and Momo sleep on his head.] But who knows, one of those adventures might even save the world.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,[Aang falls off Appa. Side-view of Appa as he falls.] Aaah! [Screen fades to black.] I meant to do that!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,1,The Boy in the Iceberg,Sokka,"It's not getting away from me this time. [Close-up of Sokka as he grins confidently over his shoulder in the direction of Katara.] Watch and learn, Katara. This is how you catch a fish.","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,"[Happily surprised.] Sokka, look!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,"[Close-up of Sokka; whispering.] Sshh! Katara, you're going to scare it away. [A look of bliss adorns his face. He licks his lips and wiggles his fingers, not taking his eyes off the fish.] Mmmm ... I can already smell it cookin'.","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,"[Struggling with the water that passes right in front of her.] But, Sokka! I caught one!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,[Exclaims indignantly.] Hey!,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,"Why is it that every time you play with magic water, I get soaked?","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,"[Cut to her face; she sighs lightly before answering in slight annoyance.] It's not ""magic"", it's waterbending! And it's ...","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,"[Cutting her off.] Yeah, yeah, ""an ancient art unique to our culture"", blah, blah, blah. Look, I'm just saying [Grabbing his warrior's wolf knot with his left hand as he turns away from her, wringing the water out of it. Meanwhile, Katara has crossed her arms.] that if I had weird powers, I'd keep my weirdness to myself.","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,"[Cut to her face as she raises an eyebrow skeptically, arms still crossed.] You're calling me weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,Watch out! Go left! Go left!,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,[A touch of bitterness in her voice.] You call that left?,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,"You don't like my steering? Well, maybe you should've [He waves his hands, mockingly imitating waterbending.] waterbended us out of the ice.","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,[Indignantly.] So it's my fault?,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,[Annoyed.] I knew I should've left you home! [Cut to a close-up of the siblings; Katara is staring down at her brother in anger while he rants calmly.] Leave it to a girl to screw things up!,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,"You are the most sexist, [She brings her hands up to her head and swings them back down and behind her in her rage; the movement creates a small wave of water behind her.] immature, [Hands raised back to her head.] nut brained ... [Swings her arms back down again, creating a slightly larger wave; she raises her hands back to her head during a brief loss for words.] I'm embarrassed [Throwing a hand upward, a short jet of water shoots upward as well.] to be related to you!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,"Ever since mom died, [Points to herself.] I've been doing all the work around camp while you've been off playing soldier!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,"[Pointing to the iceberg behind her, his voice subdued by fright.] Uh ... Katara ...","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,"[Close-up of a rage-fueled Katara as she continues her outburst, a finger pointed in Sokka's face.] I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, not pleasant!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,"[In a screeching voice, his eyes open wide in fear.] Katara, settle down!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,"(Angrily) NO! THAT’S IT!! I’m done helping you. From now on, (shrieks) you’re ON YOUR OWN!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,"Okay, you've gone from ""weird"" to ""freakish"", [He releases her.] Katara.","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,[Astonished.] You mean I did that?,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,"[Sarcastically, glancing at her and smirking.] Yep. [Nudging her with his elbow.] Congratulations.","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,He's alive! We have to help!,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,"Katara, get back here! [He grabs his spear from the ice and runs after Katara, who is already at the ice's edge.] We don't know what that thing is!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Zuko,"Finally! [He turns around to face another person in uniform, who sits at a small table.] Uncle, do you realize what this means?!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Iroh,[He is playing some sort of card game. He answers calmly while looking over the tile he's holding toward his nephew.] I won't get to finish my game?,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Zuko,[Turning around again to face the light.] It means my search is about to come to an end.,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Zuko,[Gestures at the light while facing his uncle again.] That light came from an incredibly powerful source! [The light dwindles and disappears.] It has to be him!,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Iroh,"[With continuing disinterest and an air of skepticism.] Or it's just the celestial lights. We've been down this road before, Prince Zuko. [He looks at the tile in his hand, depicting the symbol of airbending.] I don't want you to get too excited over nothing. [He places it on a tile carrying the symbol of firebending and gestures toward the open place at the other side of the table while continuing in a relaxed voice.] Please, sit. Why don't you enjoy a cup of calming Jasmine tea?","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Zuko,"[Furiously, still facing Iroh.] I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Sokka,[Brandishing his spear in defense once again.] Stop!,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,[Waves the spear away. Annoyed.] Stop it!,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Aang,[In a weak voice.] I need to ask you something ...,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,What?,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Aang,Please ... come closer.,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,[Curiously.] What is it?,"Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Aang,"[In a clear, happy, hopeful tone.] Will you go penguin sledding with me?","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
1,1,The Boy in the Iceberg,Katara,"[Awkwardly.] Uh, sure ... I-I guess.","Aang, Appa, Katara, Sokka","Kanna, Southern Water Tribe boy, Southern Water Tribe girl","Iroh, Zuko","Southern Water Tribe
Shipwreck
Wolf Cove, Shipwreck, Wolf Cove, Zuko's ship"
